,date,pm10_x,so2_x,no2_x,o3_x,pm10_y,so2_y,no2_y,o3_y,pm10_x,so2_x,no2_x,o3_x,pm10_y,so2_y,no2_y,o3_y
100,2/2/17,,0.001,8.22,42.09,,0.001,11.35,40.56,38.26,0.001,9.65,4.43,36.59,0.001,15.93,6.81
101,3/2/17,,0.001,10.23,21.94,,0.001,11.42,39.22,48.32,0.001,10.9,0.01,49.63,0.001,16.2,0.01
102,4/2/17,,0.001,10.1,22.43,,0.001,16.31,28.99,45.71,0.001,10.7,0.01,84.22,0.001,20.7,0.01
103,1/4/17,62.65,,,,46.61,,,,27.29,,,,46.01,,,
104,2/4/17,34.37,,,,76.1,,,,33.81,,,,88.97,,,
105,3/4/17,38.23,,,,89.14,,,,39.67,,,,59.05,,,
106,1/5/17,51.93,,,,21.8,,,,32.28,,,,34.32,,,
107,2/5/17,28.91,,,,55.53,,,,30.7,,,,53.77,,,
108,3/5/17,53.59,,,,60.39,,,,38.32,,,,79.04,,,
109,4/5/17,1.69,,,,74.07,,,,24.35,,,,129.18,,,
110,5/5/17,,,,,,,,,,,,,47.11,,,
111,1/6/17,72.34,,,,65.96,,,,37.19,,,,42.42,,,
112,2/6/17,66.53,,,,41.7,,,,32.36,,,,60.63,,,
113,3/6/17,14.25,,,,56.3,,,,41.58,,,,73.23,,,
114,4/6/17,74.9,,,,47.2,,,,33.04,,,,98.15,,,
115,5/6/17,52.84,,,,84.01,,,,50.12,,,,,,,
116,1/7/17,46.32,,,,52.42,,,,37.08,,,,62.14,,,
117,2/7/17,65.65,,,,50.65,,,,32.51,,,,52.05,,,
118,3/7/17,59.77,,,,47.16,,,,26.32,,,,60.17,,,
119,4/7/17,101.68,,,,99.79,,,,50.37,,,,57.3,,,
120,1/8/17,53.77,,,,58.43,,,,36.82,,,,59.28,,,
121,2/8/17,38.94,,,,64.95,,,,18.23,,,,51.44,,,
122,3/8/17,49.58,,,,93.26,,,,41.52,,,,78.87,,,
123,4/8/17,66.12,,,,91.7,,,,19.31,,,,64.77,,,
124,5/8/17,60.17,,,,53.47,,,,34.03,,,,50.58,,,
125,1/9/17,87.25,,,,56.75,,,,25.89,,,,68.82,,,
126,2/9/17,37.91,,,,59.71,,,,40.41,,,,35.34,,,
127,3/9/17,50.48,,,,48.48,,,,27.11,,,,42.97,,,
